City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,67.37,70,0,4.0,clear sky
1,Bluff,NZ,-46.6,168.3333,58.8,73,16,10.63,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,41.11,60,75,8.05,broken clouds
3,Mataura,NZ,-46.1927,168.8643,58.48,52,55,3.47,broken clouds
4,Touros,BR,-5.1989,-35.4608,78.17,74,60,12.57,broken clouds
5,Albany,US,42.6001,-73.9662,54.59,83,74,3.11,broken clouds
6,Saldanha,ZA,-33.0117,17.9442,63.46,65,25,12.55,scattered clouds
7,Embonas,GR,36.2269,27.8564,57.83,53,0,2.01,clear sky
8,Qaanaaq,GL,77.484,-69.3632,-7.51,62,0,8.39,clear sky
9,Belaya Gora,RU,68.5333,146.4167,-27.76,100,52,2.39,broken clouds
10,West Wendover,US,40.7391,-114.0733,31.21,51,0,8.05,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,68.56,88,89,8.01,overcast clouds
12,Busselton,AU,-33.65,115.3333,62.96,40,42,19.89,scattered clouds
13,Aykhal,RU,66.0,111.5,-12.98,98,58,6.49,broken clouds
14,Bahia Blanca,AR,-38.7196,-62.2724,61.52,39,8,3.91,clear sky
15,Ikom,NG,5.9667,8.7063,73.87,93,100,1.77,overcast clouds
16,Tuktoyaktuk,CA,69.4541,-133.0374,21.16,96,100,5.32,light snow
17,Olean,US,42.0776,-78.4297,57.78,81,0,10.36,clear sky
18,Thompson,CA,55.7435,-97.8558,-8.25,100,48,1.95,scattered clouds
19,Pangnirtung,CA,66.1451,-65.7125,-5.8,93,75,4.38,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,73.08,86,78,3.13,light rain
21,Ushuaia,AR,-54.8,-68.3,40.66,75,75,2.3,broken clouds
22,Pevek,RU,69.7008,170.3133,2.5,96,100,3.69,overcast clouds
23,Port Elizabeth,ZA,-33.918,25.5701,67.1,99,67,5.99,broken clouds
24,Laguna De Perlas,NI,12.3429,-83.6712,75.79,88,75,4.61,broken clouds
25,Chuy,UY,-33.6971,-53.4616,60.24,96,92,7.23,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,-6.57,83,95,3.18,overcast clouds
27,Saskylakh,RU,71.9167,114.0833,-28.8,100,54,2.93,broken clouds
28,Caruray,PH,10.3094,119.0128,87.98,63,56,8.03,broken clouds
29,Dakoro,NE,14.5106,6.765,72.05,21,21,10.85,few clouds
30,Saint-Philippe,RE,-21.3585,55.7679,80.19,68,9,7.81,clear sky
31,Broome,US,42.2506,-75.833,55.85,84,0,8.05,clear sky
32,Lyuban,BY,52.7985,28.0048,46.08,92,92,8.34,overcast clouds
33,Kapaa,US,22.0752,-159.319,76.98,80,20,14.97,few clouds
34,Sapa,PH,5.1544,120.3241,83.1,75,35,3.85,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,65.17,89,87,8.01,overcast clouds
36,Kudahuvadhoo,MV,2.6708,72.8944,80.08,78,86,11.9,light rain
37,Jamestown,US,42.097,-79.2353,57.72,63,0,6.91,clear sky
38,Nyanguge,TZ,-2.55,33.2,74.55,61,99,6.87,overcast clouds
39,Chilca,PE,-12.5211,-76.7372,62.1,91,4,7.02,clear sky
40,Roura,GF,4.7263,-52.3274,73.31,100,100,0.0,mist
41,Georgetown,MY,5.4112,100.3354,87.73,70,20,6.91,few clouds
42,Astana,KZ,51.1801,71.446,30.15,86,100,17.9,light snow
43,New Norfolk,AU,-42.7826,147.0587,63.88,66,83,1.99,broken clouds
44,Shelburne,CA,44.0787,-80.2041,56.59,67,70,16.24,broken clouds
45,Upernavik,GL,72.7868,-56.1549,11.26,79,99,5.95,overcast clouds
46,Nikolskoye,RU,59.7035,30.7861,48.09,83,97,9.8,overcast clouds
47,Banda Aceh,ID,5.5577,95.3222,77.76,85,100,9.51,overcast clouds
48,Yumen,CN,40.2833,97.2,43.18,35,66,22.35,broken clouds
49,Manta,EC,-0.95,-80.7333,69.55,83,84,7.87,broken clouds
50,Nanortalik,GL,60.1432,-45.2371,25.03,74,100,11.21,overcast clouds
51,San Jose Del Palmar,CO,4.9742,-76.2283,61.47,99,99,0.51,overcast clouds
52,Saint-Joseph,RE,-21.3667,55.6167,79.18,68,12,5.95,few clouds
53,Dingle,PH,10.9995,122.6711,83.64,78,76,11.5,broken clouds
54,Avarua,CK,-21.2078,-159.775,73.45,73,100,10.36,overcast clouds
55,Hobart,AU,-42.8794,147.3294,64.22,85,100,21.85,overcast clouds
56,Wanning,CN,18.8003,110.3967,79.03,76,97,9.6,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,26.44,68,20,12.66,few clouds
58,San Vicente,AR,-26.6167,-54.1333,59.72,99,99,3.62,overcast clouds
59,Alice Springs,AU,-23.7,133.8833,98.74,17,50,22.86,scattered clouds
60,Xinpu,CN,34.5997,119.1594,70.92,67,91,10.29,overcast clouds
61,Bend,US,44.0582,-121.3153,30.45,74,0,6.91,clear sky
62,Faanui,PF,-16.4833,-151.75,78.71,78,36,6.96,light rain
63,Hatillo,PR,18.4863,-66.8254,78.08,92,33,8.95,scattered clouds
64,Adrar,MR,20.5022,-10.0711,65.93,13,7,9.19,clear sky
65,Tasiilaq,GL,65.6145,-37.6368,35.76,77,100,27.96,overcast clouds
66,Penzance,GB,50.1186,-5.5371,57.88,86,100,26.64,overcast clouds
67,Palmer,US,42.1584,-72.3287,57.61,80,0,5.75,clear sky
68,Panaba,MX,21.2833,-88.2667,70.29,90,74,3.85,broken clouds
69,Caravelas,BR,-17.7125,-39.2481,73.83,91,21,5.46,few clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,61.88,93,39,4.0,fog
71,Atuona,PF,-9.8,-139.0333,77.79,81,15,14.2,light rain
72,South Lake Tahoe,US,38.9332,-119.9844,25.86,83,0,0.0,clear sky
73,Taksimo,RU,56.3444,114.8794,18.09,71,97,1.19,overcast clouds
74,Darab,IR,28.7519,54.5444,71.62,36,96,1.92,overcast clouds
75,Ostrovnoy,RU,68.0531,39.5131,33.71,89,100,10.11,overcast clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,70.56,89,14,4.59,few clouds
77,Bredasdorp,ZA,-34.5322,20.0403,65.48,67,7,7.85,clear sky
78,Nueva Concepcion,GT,14.2,-91.3,71.76,91,7,4.23,clear sky
79,Bloomingdale,US,27.8936,-82.2404,74.01,96,100,11.99,overcast clouds
80,Fairbanks,US,64.8378,-147.7164,17.22,86,100,5.75,light snow
81,Sabha,LY,27.0377,14.4283,60.73,53,0,9.78,clear sky
82,Kaitangata,NZ,-46.2817,169.8464,62.1,62,49,10.38,scattered clouds
83,Padang,ID,-0.9492,100.3543,82.45,82,94,4.25,overcast clouds
84,Gat,IL,31.61,34.7642,70.39,100,0,5.93,clear sky
85,San Patricio,US,28.017,-97.5169,78.66,86,23,7.74,few clouds
86,Esperance,AU,-33.8667,121.9,60.04,72,90,25.55,overcast clouds
87,Hermanus,ZA,-34.4187,19.2345,64.8,70,4,6.33,clear sky
88,Cabo San Lucas,MX,22.8909,-109.9124,75.51,73,96,3.0,overcast clouds
89,Wynyard,AU,-41.0,145.7167,66.47,60,99,8.88,overcast clouds
90,Rocha,UY,-34.4833,-54.3333,56.75,98,77,4.94,broken clouds
91,Kununurra,AU,-15.7667,128.7333,98.58,36,38,13.8,scattered clouds
92,Talcahuano,CL,-36.7167,-73.1167,55.08,100,75,6.91,broken clouds
93,Cherskiy,RU,68.75,161.3,-7.4,99,100,2.66,overcast clouds
94,Birao,CF,10.2849,22.7882,74.55,27,47,10.04,scattered clouds
95,Lagoa,PT,39.05,-27.9833,60.33,66,31,24.94,scattered clouds
96,Te Anau,NZ,-45.4167,167.7167,70.56,55,84,2.91,broken clouds
97,Manokwari,ID,-0.8667,134.0833,82.63,75,100,2.93,overcast clouds
98,Karratha,AU,-20.7377,116.8463,85.1,34,0,22.95,clear sky
99,East London,ZA,-33.0153,27.9116,68.23,82,100,17.31,light rain
100,Makakilo City,US,21.3469,-158.0858,75.56,67,0,6.91,clear sky
101,Butaritari,KI,3.0707,172.7902,81.46,81,75,18.81,broken clouds
102,Richards Bay,ZA,-28.783,32.0377,73.71,71,65,6.8,broken clouds
103,Hilo,US,19.7297,-155.09,71.33,81,0,5.01,clear sky
104,Miri,MY,4.4148,114.0089,84.2,71,96,5.28,overcast clouds
105,Mount Gambier,AU,-37.8333,140.7667,61.56,70,98,9.71,overcast clouds
106,Basse-Pointe,MQ,14.8695,-61.115,79.84,77,100,9.95,overcast clouds
107,Sao Filipe,CV,14.8961,-24.4956,76.5,72,98,5.44,overcast clouds
108,Vaini,TO,-21.2,-175.2,78.22,88,100,12.73,light rain
109,Eseka,CM,3.65,10.7667,71.17,98,94,0.67,overcast clouds
110,Wairoa,NZ,-39.0333,177.3667,60.55,99,100,1.01,moderate rain
111,Mayo,US,38.8876,-76.5119,62.55,90,0,4.61,clear sky
112,Kodiak,US,57.79,-152.4072,27.91,86,0,0.0,clear sky
113,Nyurba,RU,63.2842,118.3319,2.68,88,100,7.4,overcast clouds
114,Tuatapere,NZ,-46.1333,167.6833,61.05,65,15,5.77,few clouds
115,Pitsunda,GE,43.1592,40.3378,50.18,59,32,8.19,scattered clouds
116,Kamenka,RU,51.3223,42.7678,38.16,86,19,9.51,few clouds
117,Gimli,CA,50.6336,-96.9907,23.7,85,100,24.23,light snow
118,Alvand,IR,36.3187,49.1678,44.82,63,45,3.89,scattered clouds
119,Sobolevo,RU,54.4299,31.8996,45.93,94,100,6.85,overcast clouds
120,San Juan,AR,-31.5375,-68.5364,65.66,69,70,9.84,broken clouds
121,Batticaloa,LK,7.7102,81.6924,83.68,68,100,6.13,overcast clouds
122,Bilma,NE,18.6853,12.9164,67.86,25,40,6.06,scattered clouds
123,Hithadhoo,MV,-0.6,73.0833,81.48,77,90,14.18,overcast clouds
124,Chokurdakh,RU,70.6333,147.9167,-17.88,99,100,5.64,overcast clouds
125,Salalah,OM,17.0151,54.0924,84.29,54,0,4.61,clear sky
126,Talaya,RU,61.3833,152.75,-7.69,98,100,3.76,overcast clouds
127,Portland,US,45.5234,-122.6762,43.52,88,20,7.0,few clouds
128,Eyl,SO,7.9803,49.8164,83.98,59,54,15.26,broken clouds
129,Kurilsk,RU,45.2333,147.8833,39.94,55,98,17.63,overcast clouds
130,Ruteng,ID,-8.6136,120.4721,71.65,80,87,0.4,moderate rain
131,Feijo,BR,-8.1642,-70.3536,71.55,99,98,2.1,heavy intensity rain
132,Vila Velha,BR,-20.3297,-40.2925,75.15,92,75,5.75,broken clouds
133,Margate,GB,51.3813,1.3862,57.9,87,100,5.99,overcast clouds
134,Senneterre,CA,48.3835,-77.2328,32.65,92,100,8.16,light snow
135,Tiksi,RU,71.6872,128.8694,-13.25,100,91,2.55,overcast clouds
136,Eureka,US,40.8021,-124.1637,40.93,97,100,3.27,overcast clouds
137,Barrow,US,71.2906,-156.7887,15.82,86,100,10.36,light snow
138,Klaksvik,FO,62.2266,-6.589,50.92,87,100,27.31,overcast clouds
139,Castro,BR,-24.7911,-50.0119,57.38,96,87,5.95,overcast clouds
140,Hofn,IS,64.2539,-15.2082,43.32,81,99,1.86,overcast clouds
141,Katsuura,JP,35.1333,140.3,68.92,58,11,13.04,few clouds
142,Tingi,TZ,-11.3,35.0333,73.24,61,99,3.29,overcast clouds
143,Yellowknife,CA,62.456,-114.3525,14.56,85,28,18.01,scattered clouds
144,Cayenne,GF,4.9333,-52.3333,73.44,100,100,0.0,mist
145,Ribeira Grande,PT,38.5167,-28.7,57.78,77,57,1.01,broken clouds
146,Dalnerechensk,RU,45.9339,133.7225,41.0,41,98,7.25,light rain
147,Dikson,RU,73.5069,80.5464,-2.7,90,92,16.75,overcast clouds
148,Turayf,SA,31.6725,38.6637,61.93,42,1,16.11,clear sky
149,Bethel,US,41.3712,-73.414,56.62,86,100,0.0,overcast clouds
150,Laguna,US,38.421,-121.4238,47.32,87,0,5.75,clear sky
151,Khatanga,RU,71.9667,102.5,-16.82,100,97,3.09,overcast clouds
152,Staunton,US,38.1496,-79.0717,57.16,90,100,1.01,overcast clouds
153,General Roca,AR,-39.0333,-67.5833,66.85,32,100,5.95,overcast clouds
154,Beitbridge,ZW,-22.2167,30.0,71.17,80,96,17.98,light rain
155,Machali,CL,-34.1833,-70.6667,50.63,84,75,1.5,broken clouds
156,Sitka,US,57.0531,-135.33,35.55,96,100,4.0,light rain
157,Ankang,CN,32.68,109.0172,69.76,65,80,5.61,broken clouds
158,Torbay,CA,47.6666,-52.7314,41.76,89,100,10.36,light intensity shower rain
159,Pacific Grove,US,36.6177,-121.9166,47.88,87,0,5.75,clear sky
160,Tessalit,ML,20.1986,1.0114,67.95,22,0,11.97,clear sky
161,Ahuimanu,US,21.4447,-157.8378,76.75,71,20,6.91,few clouds
162,Severo-Kurilsk,RU,50.6789,156.125,32.88,63,98,35.99,light snow
163,Bima,ID,-8.4667,118.7167,86.54,71,99,2.59,light rain
164,Provideniya,RU,64.3833,-173.3,17.87,76,55,9.01,broken clouds
165,Seoul,KR,37.5683,126.9778,70.99,41,7,4.85,clear sky
166,Nome,US,64.5011,-165.4064,20.82,91,83,5.86,broken clouds
167,Chittur,IN,10.7,76.75,77.86,92,100,3.0,light rain
168,Port Hawkesbury,CA,45.6169,-61.3485,52.92,88,96,5.01,overcast clouds
169,Robe,AU,-37.1833,139.75,60.35,78,97,15.77,overcast clouds
170,Maniwaki,CA,46.3834,-75.966,49.84,79,82,4.99,broken clouds
171,Le Vauclin,MQ,14.5452,-60.8388,79.84,88,20,5.75,few clouds
172,Riyadh,SA,24.6877,46.7219,84.34,15,84,17.22,broken clouds
173,Abalak,RU,58.1286,68.5944,30.97,93,100,6.06,overcast clouds
174,Kokemaki,FI,61.2565,22.3564,51.58,89,100,15.05,overcast clouds
175,Zhangye,CN,38.9342,100.4517,42.1,49,99,5.84,overcast clouds
176,Cartagena,CO,10.3997,-75.5144,76.62,94,40,3.44,scattered clouds
177,Port Moresby,PG,-9.4431,147.1797,83.44,68,78,11.79,broken clouds
178,Meulaboh,ID,4.1363,96.1285,78.12,85,100,3.74,overcast clouds
179,Geraldton,AU,-28.7667,114.6,68.41,56,40,20.71,scattered clouds
180,Bambous Virieux,MU,-20.3428,57.7575,81.21,67,28,8.7,scattered clouds
181,Antalaha,MG,-14.9003,50.2788,80.38,54,72,7.27,broken clouds
182,Iqaluit,CA,63.7506,-68.5145,-7.31,76,81,11.01,broken clouds
183,Skowhegan,US,44.7651,-69.7192,52.38,70,100,2.8,overcast clouds
184,Bela,IN,25.9333,81.9833,83.5,35,0,7.81,clear sky
185,Gizo,SB,-8.103,156.8419,83.14,77,96,7.9,light rain
186,Kruisfontein,ZA,-34.0033,24.7314,64.89,63,64,8.7,broken clouds
187,Honningsvag,NO,70.9821,25.9704,33.55,86,100,17.27,light snow
188,Warrington,GB,53.3925,-2.5802,60.46,81,100,19.57,overcast clouds
189,Pokosnoye,RU,55.5258,101.0536,29.32,65,100,9.53,overcast clouds
190,Colesberg,ZA,-30.72,25.0972,67.87,60,97,19.62,overcast clouds
191,Prince Rupert,CA,54.3161,-130.3201,37.36,91,100,10.63,light rain
192,Talnakh,RU,69.4865,88.3972,4.68,96,100,12.03,snow
193,Shieli,KZ,44.1667,66.75,41.74,57,43,4.0,scattered clouds
194,Dali,CN,25.7,100.1833,68.09,29,7,6.15,clear sky
195,Sao Roque,BR,-23.5292,-47.1353,66.36,92,35,6.91,scattered clouds
196,Teluk Nibung,ID,3.001,99.8164,82.6,72,100,10.38,overcast clouds
197,Riohacha,CO,11.5444,-72.9072,75.9,90,92,4.7,overcast clouds
198,Espinosa,BR,-14.9261,-42.8192,68.0,89,35,3.76,scattered clouds
199,Half Moon Bay,US,37.4636,-122.4286,52.61,82,0,6.91,clear sky
200,Marquette,US,46.5333,-87.6335,42.24,95,100,10.18,overcast clouds
201,Broken Hill,AU,-31.95,141.4333,85.41,28,39,6.8,scattered clouds
202,Isla Mujeres,MX,21.2311,-86.731,73.45,72,1,2.21,clear sky
203,Yar-Sale,RU,66.8333,70.8333,7.16,97,95,7.36,overcast clouds
204,Walvis Bay,NA,-22.9575,14.5053,58.08,80,0,3.98,clear sky
205,Chake Chake,TZ,-5.2459,39.7666,81.27,74,51,4.14,light rain
206,Shellbrook,CA,53.2168,-106.4011,-2.04,95,100,5.17,overcast clouds
207,Egvekinot,RU,66.3167,-179.1667,-2.97,93,34,6.69,scattered clouds
208,Bay Roberts,CA,47.5999,-53.2648,42.51,88,97,1.99,light rain
209,Hasaki,JP,35.7333,140.8333,68.4,63,5,14.92,clear sky
210,Flinders,AU,-34.5833,150.8552,74.17,69,100,4.0,overcast clouds
211,Ewa Beach,US,21.3156,-158.0072,76.98,66,0,6.91,clear sky
212,Srednekolymsk,RU,67.45,153.6833,-12.69,100,99,3.29,overcast clouds
213,Mizdah,LY,31.4451,12.9801,53.82,96,1,4.38,clear sky
214,Ibra,OM,22.6906,58.5334,81.95,35,3,3.15,clear sky
215,Port-Gentil,GA,-0.7193,8.7815,76.08,83,100,8.37,overcast clouds
216,Yuryevets,RU,57.3201,43.1041,43.07,95,100,11.99,moderate rain
217,Chipinge,ZW,-20.1883,32.6236,67.8,82,100,2.46,overcast clouds
218,Pareora,NZ,-44.4871,171.2132,59.18,79,87,18.37,overcast clouds
219,Nago,JP,26.5881,127.9761,81.03,86,96,13.69,overcast clouds
220,Leningradskiy,RU,69.3833,178.4167,6.94,96,100,7.56,light snow
221,Dayong,CN,25.0209,118.2898,89.65,40,0,2.35,clear sky
